flood_id,flooded_location,latitude,longitude,mean_pr,daily rainfall total (mm),highest 30 min rainfall (mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),date,geom
1,Yishun MRT,1.429525229,103.8349951,17.3950819672131,45,40.8,44,44.2,2014-03-20,0101000020E61000007FB4498F70F5594063CAB5D855DFF63F
2,2 KAKI BUKIT ROAD 3,1.337333619,103.9019432,7.99354838709677,25,21,25,25,2014-04-04,0101000020E610000060B6F86FB9F959402524D7EFB765F53F
3,PSC Building,1.328862581,103.7061887,14.5746031746032,89.5,49.5,83,89,2014-04-23,0101000020E610000081D3163232ED5940D45EE4680543F53F
4,21229,1.342064137,103.7160202,14.5746031746032,65.4,51.6,63.8,65.4,2014-04-23,0101000020E6100000A0916346D3ED59409ACA983E1879F53F
5,Tengah Flyover,1.363822193,103.7070434,22.1952380952381,92.6,50.2,78.4,92.2,2014-05-16,0101000020E610000092F6F53240ED59406DE7473837D2F53F
6,PSC Building,1.328862581,103.7061887,22.1952380952381,72,42.4,65,71.8,2014-05-16,0101000020E610000081D3163232ED5940D45EE4680543F53F
7,21229,1.342064137,103.7160202,22.1952380952381,92.6,50.2,78.4,92.2,2014-05-16,0101000020E6100000A0916346D3ED59409ACA983E1879F53F
8,45019,1.388299237,103.7555394,8.51666666666667,76.4,47.2,67.4,71.2,2014-06-25,0101000020E6100000BA75EDC15AF05940C8A0BF427936F63F
9,45061,1.407181111,103.756063,8.51666666666667,76.4,47.2,67.4,71.2,2014-06-25,0101000020E6100000CDAD105663F0594001B43457D083F63F
10,45019,1.388299237,103.7555394,29.3316666666667,72.4,54.8,61,66.2,2014-07-09,0101000020E6100000BA75EDC15AF05940C8A0BF427936F63F
11,Commonwealth Lane,1.304553066,103.7974747,29.3316666666667,51.6,45.8,50,50.6,2014-07-09,0101000020E6100000CBF852D309F359404EDD250973DFF43F
12,Mackenzie Road,1.305872855,103.8480019,33.6033333333333,95.8,49.4,84.8,95.6,2014-07-29,0101000020E610000089DCC2A945F65940AE584FEFDAE4F43F
